sep=;
N;X;Y;Z;Sig_11
0;-48.0000;5.0000;0.0000;2.913335983e+02
1;-47.5000;5.0000;0.0000;2.894776376e+02
2;-45.0000;5.0000;0.0000;2.802809822e+02
3;-42.5000;5.0000;0.0000;2.656038554e+02
4;-40.0000;5.0000;0.0000;2.493027869e+02
5;-37.5000;5.0000;0.0000;2.338573222e+02
6;-35.0000;5.0000;0.0000;2.192724462e+02
7;-32.5000;5.0000;0.0000;2.054460879e+02
8;-30.0000;5.0000;0.0000;1.922748115e+02
9;-27.5000;5.0000;0.0000;1.795071912e+02
10;-25.0000;5.0000;0.0000;1.671716977e+02
11;-22.5000;5.0000;0.0000;1.555410162e+02
12;-20.0000;5.0000;0.0000;1.444062861e+02
13;-17.5000;5.0000;0.0000;1.337530454e+02
14;-15.0000;5.0000;0.0000;1.235590833e+02
15;-12.5000;5.0000;0.0000;1.138742466e+02
16;-10.0000;5.0000;0.0000;1.046258451e+02
17;-7.5000;5.0000;0.0000;9.579739372e+01
18;-5.0000;5.0000;0.0000;8.739149695e+01
19;-2.5000;5.0000;0.0000;7.945243646e+01
20;0.0000;5.0000;0.0000;7.191242440e+01
21;2.5000;5.0000;0.0000;6.478160604e+01
22;5.0000;5.0000;0.0000;5.803965404e+01
23;7.5000;5.0000;0.0000;5.172524715e+01
24;10.0000;5.0000;0.0000;4.579218128e+01
25;12.5000;5.0000;0.0000;4.024603602e+01
26;15.0000;5.0000;0.0000;3.506054357e+01
27;17.5000;5.0000;0.0000;3.027041437e+01
28;20.0000;5.0000;0.0000;2.583347414e+01
29;22.5000;5.0000;0.0000;2.177382468e+01
30;25.0000;5.0000;0.0000;1.806333822e+01
31;27.5000;5.0000;0.0000;1.472545171e+01
32;30.0000;5.0000;0.0000;1.172783009e+01
33;32.5000;5.0000;0.0000;9.101904028e+00
34;35.0000;5.0000;0.0000;6.815241587e+00
35;37.5000;5.0000;0.0000;4.884195090e+00
36;40.0000;5.0000;0.0000;3.282930930e+00
37;42.5000;5.0000;0.0000;2.043968544e+00
38;45.0000;5.0000;0.0000;1.550692000e+00
39;47.5000;5.0000;0.0000;1.694134547e+00
40;50.0000;5.0000;0.0000;2.029502296e+00
