sep=;
N;X;Y;Z;U2
0;0.0000;0.0000;0.0000;0.000000000e+00
1;2.5000;0.0000;0.0000;-1.165753838e-03
2;5.0000;0.0000;0.0000;-4.403395074e-03
3;7.5000;0.0000;0.0000;-9.312287111e-03
4;10.0000;0.0000;0.0000;-1.581415700e-02
5;12.5000;0.0000;0.0000;-2.384329066e-02
6;15.0000;0.0000;0.0000;-3.331838132e-02
7;17.5000;0.0000;0.0000;-4.415361507e-02
8;20.0000;0.0000;0.0000;-5.626444392e-02
9;22.5000;0.0000;0.0000;-6.956979642e-02
10;25.0000;0.0000;0.0000;-8.398847261e-02
11;27.5000;0.0000;0.0000;-9.944483639e-02
12;30.0000;0.0000;0.0000;-1.158664917e-01
13;32.5000;0.0000;0.0000;-1.331840841e-01
14;35.0000;0.0000;0.0000;-1.513314938e-01
15;37.5000;0.0000;0.0000;-1.702453402e-01
16;40.0000;0.0000;0.0000;-1.898652128e-01
17;42.5000;0.0000;0.0000;-2.101331840e-01
18;45.0000;0.0000;0.0000;-2.309943675e-01
19;47.5000;0.0000;0.0000;-2.523963169e-01
20;50.0000;0.0000;0.0000;-2.742894796e-01
21;52.5000;0.0000;0.0000;-2.966265024e-01
22;55.0000;0.0000;0.0000;-3.193631820e-01
23;57.5000;0.0000;0.0000;-3.424573259e-01
24;60.0000;0.0000;0.0000;-3.658696023e-01
25;62.5000;0.0000;0.0000;-3.895624856e-01
26;65.0000;0.0000;0.0000;-4.135017943e-01
27;67.5000;0.0000;0.0000;-4.376549741e-01
28;70.0000;0.0000;0.0000;-4.619922136e-01
29;72.5000;0.0000;0.0000;-4.864852561e-01
30;75.0000;0.0000;0.0000;-5.111091792e-01
31;77.5000;0.0000;0.0000;-5.358405412e-01
32;80.0000;0.0000;0.0000;-5.606586618e-01
33;82.5000;0.0000;0.0000;-5.855442154e-01
34;85.0000;0.0000;0.0000;-6.104813273e-01
35;87.5000;0.0000;0.0000;-6.354553420e-01
36;90.0000;0.0000;0.0000;-6.604545645e-01
37;92.5000;0.0000;0.0000;-6.854682675e-01
38;95.0000;0.0000;0.0000;-7.104921143e-01
39;97.5000;0.0000;0.0000;-7.355242581e-01
40;100.0000;0.0000;0.0000;-7.605112045e-01
