sep=;
N;R;Theta;Z;|U|
0;15.0000;-90.0000;0.0000;1.748245371e-04
1;15.0000;-85.0000;0.0000;7.126065796e-04
2;15.0000;-80.0000;0.0000;7.445130754e-04
3;15.0000;-75.0000;0.0000;7.778056864e-04
4;15.0000;-70.0000;0.0000;8.059109233e-04
5;15.0000;-65.0000;0.0000;8.403865674e-04
6;15.0000;-60.0000;0.0000;8.710810626e-04
7;15.0000;-55.0000;0.0000;9.112964987e-04
8;15.0000;-50.0000;0.0000;9.493736833e-04
9;15.0000;-45.0000;0.0000;2.769503776e-04
10;15.0000;-40.0000;0.0000;1.041337241e-03
11;15.0000;-35.0000;0.0000;1.091560959e-03
12;15.0000;-30.0000;0.0000;1.137260196e-03
13;15.0000;-25.0000;0.0000;1.183263467e-03
14;15.0000;-20.0000;0.0000;1.221520094e-03
15;15.0000;-15.0000;0.0000;1.254384414e-03
16;15.0000;-10.0000;0.0000;1.279976391e-03
17;15.0000;-5.0000;0.0000;1.293226179e-03
18;15.0000;0.0000;0.0000;3.630178864e-04
19;15.0000;5.0000;0.0000;1.294003122e-03
20;15.0000;10.0000;0.0000;1.281166456e-03
21;15.0000;15.0000;0.0000;1.255222294e-03
22;15.0000;20.0000;0.0000;1.222616519e-03
23;15.0000;25.0000;0.0000;1.184126432e-03
24;15.0000;30.0000;0.0000;1.138178199e-03
25;15.0000;35.0000;0.0000;1.092436580e-03
26;15.0000;40.0000;0.0000;1.042168328e-03
27;15.0000;45.0000;0.0000;2.777746244e-04
28;15.0000;50.0000;0.0000;9.498855891e-04
29;15.0000;55.0000;0.0000;9.117822748e-04
30;15.0000;60.0000;0.0000;8.712893983e-04
31;15.0000;65.0000;0.0000;8.405231297e-04
32;15.0000;70.0000;0.0000;8.057291259e-04
33;15.0000;75.0000;0.0000;7.776376019e-04
34;15.0000;80.0000;0.0000;7.439316041e-04
35;15.0000;85.0000;0.0000;7.121633932e-04
36;15.0000;90.0000;0.0000;1.749091372e-04
37;16.4286;-90.0000;0.0000;6.846906456e-04
38;16.4286;-85.0000;0.0000;7.118190348e-04
39;16.4286;-80.0000;0.0000;7.408551638e-04
40;16.4286;-75.0000;0.0000;7.584031492e-04
41;16.4286;-70.0000;0.0000;7.813613434e-04
42;16.4286;-65.0000;0.0000;8.002046015e-04
43;16.4286;-60.0000;0.0000;8.257344812e-04
44;16.4286;-55.0000;0.0000;8.567720088e-04
45;16.4286;-50.0000;0.0000;8.947051392e-04
46;16.4286;-45.0000;0.0000;9.419870175e-04
47;16.4286;-40.0000;0.0000;9.939060011e-04
48;16.4286;-35.0000;0.0000;1.050033304e-03
49;16.4286;-30.0000;0.0000;1.107027799e-03
50;16.4286;-25.0000;0.0000;1.159389835e-03
51;16.4286;-20.0000;0.0000;1.209557641e-03
52;16.4286;-15.0000;0.0000;1.246740903e-03
53;16.4286;-10.0000;0.0000;1.280289315e-03
54;16.4286;-5.0000;0.0000;1.295123152e-03
55;16.4286;0.0000;0.0000;1.306555627e-03
56;16.4286;5.0000;0.0000;1.295725810e-03
57;16.4286;10.0000;0.0000;1.280816617e-03
58;16.4286;15.0000;0.0000;1.247130932e-03
59;16.4286;20.0000;0.0000;1.210101268e-03
60;16.4286;25.0000;0.0000;1.160036145e-03
61;16.4286;30.0000;0.0000;1.107811861e-03
62;16.4286;35.0000;0.0000;1.050928963e-03
63;16.4286;40.0000;0.0000;9.946617099e-04
64;16.4286;45.0000;0.0000;9.428218811e-04
65;16.4286;50.0000;0.0000;8.956007441e-04
66;16.4286;55.0000;0.0000;8.572798079e-04
67;16.4286;60.0000;0.0000;8.261290747e-04
68;16.4286;65.0000;0.0000;8.003304139e-04
69;16.4286;70.0000;0.0000;7.812965664e-04
70;16.4286;75.0000;0.0000;7.582788225e-04
71;16.4286;80.0000;0.0000;7.410001425e-04
72;16.4286;85.0000;0.0000;7.116359915e-04
73;16.4286;90.0000;0.0000;6.847274743e-04
74;17.8571;-90.0000;0.0000;6.923117879e-04
75;17.8571;-85.0000;0.0000;7.145571613e-04
76;17.8571;-80.0000;0.0000;7.349311802e-04
77;17.8571;-75.0000;0.0000;7.440268233e-04
78;17.8571;-70.0000;0.0000;7.593621979e-04
79;17.8571;-65.0000;0.0000;7.697195655e-04
80;17.8571;-60.0000;0.0000;7.898661754e-04
81;17.8571;-55.0000;0.0000;8.155275567e-04
82;17.8571;-50.0000;0.0000;8.532267183e-04
83;17.8571;-45.0000;0.0000;9.014330640e-04
84;17.8571;-40.0000;0.0000;9.585328043e-04
85;17.8571;-35.0000;0.0000;1.020361040e-03
86;17.8571;-30.0000;0.0000;1.084095513e-03
87;17.8571;-25.0000;0.0000;1.142825488e-03
88;17.8571;-20.0000;0.0000;1.199034511e-03
89;17.8571;-15.0000;0.0000;1.239540259e-03
90;17.8571;-10.0000;0.0000;1.277097805e-03
91;17.8571;-5.0000;0.0000;1.293131983e-03
92;17.8571;0.0000;0.0000;1.307459025e-03
93;17.8571;5.0000;0.0000;1.293080145e-03
94;17.8571;10.0000;0.0000;1.276841798e-03
95;17.8571;15.0000;0.0000;1.238833449e-03
96;17.8571;20.0000;0.0000;1.197192752e-03
97;17.8571;25.0000;0.0000;1.141390368e-03
98;17.8571;30.0000;0.0000;1.083329200e-03
99;17.8571;35.0000;0.0000;1.020226235e-03
100;17.8571;40.0000;0.0000;9.594745073e-04
101;17.8571;45.0000;0.0000;9.023880305e-04
102;17.8571;50.0000;0.0000;8.541328025e-04
103;17.8571;55.0000;0.0000;8.149568707e-04
104;17.8571;60.0000;0.0000;7.881516971e-04
105;17.8571;65.0000;0.0000;7.680447760e-04
106;17.8571;70.0000;0.0000;7.577518343e-04
107;17.8571;75.0000;0.0000;7.431573913e-04
108;17.8571;80.0000;0.0000;7.350588881e-04
109;17.8571;85.0000;0.0000;7.132777746e-04
110;17.8571;90.0000;0.0000;6.929997603e-04
111;19.2857;-90.0000;0.0000;6.881324234e-04
112;19.2857;-85.0000;0.0000;7.075664571e-04
113;19.2857;-80.0000;0.0000;7.216426494e-04
114;19.2857;-75.0000;0.0000;7.263245277e-04
115;19.2857;-70.0000;0.0000;7.325621059e-04
116;19.2857;-65.0000;0.0000;7.393314719e-04
117;19.2857;-60.0000;0.0000;7.534018774e-04
118;19.2857;-55.0000;0.0000;7.776570035e-04
119;19.2857;-50.0000;0.0000;8.161248371e-04
120;19.2857;-45.0000;0.0000;8.656119522e-04
121;19.2857;-40.0000;0.0000;9.264558019e-04
122;19.2857;-35.0000;0.0000;9.928197849e-04
123;19.2857;-30.0000;0.0000;1.060134894e-03
124;19.2857;-25.0000;0.0000;1.124939912e-03
125;19.2857;-20.0000;0.0000;1.183533183e-03
126;19.2857;-15.0000;0.0000;1.230603970e-03
127;19.2857;-10.0000;0.0000;1.270417293e-03
128;19.2857;-5.0000;0.0000;1.289997274e-03
129;19.2857;0.0000;0.0000;1.304492881e-03
130;19.2857;5.0000;0.0000;1.290222954e-03
131;19.2857;10.0000;0.0000;1.270793458e-03
132;19.2857;15.0000;0.0000;1.231136844e-03
133;19.2857;20.0000;0.0000;1.184130179e-03
134;19.2857;25.0000;0.0000;1.125445374e-03
135;19.2857;30.0000;0.0000;1.060875459e-03
136;19.2857;35.0000;0.0000;9.938312575e-04
137;19.2857;40.0000;0.0000;9.275112501e-04
138;19.2857;45.0000;0.0000;8.666606119e-04
139;19.2857;50.0000;0.0000;8.168793962e-04
140;19.2857;55.0000;0.0000;7.783457895e-04
141;19.2857;60.0000;0.0000;7.535692341e-04
142;19.2857;65.0000;0.0000;7.394993502e-04
143;19.2857;70.0000;0.0000;7.323503967e-04
144;19.2857;75.0000;0.0000;7.258711949e-04
145;19.2857;80.0000;0.0000;7.217814972e-04
146;19.2857;85.0000;0.0000;7.061956668e-04
147;19.2857;90.0000;0.0000;6.889898964e-04
148;20.7143;-90.0000;0.0000;6.903015499e-04
149;20.7143;-85.0000;0.0000;7.027571683e-04
150;20.7143;-80.0000;0.0000;7.121687968e-04
151;20.7143;-75.0000;0.0000;7.095750093e-04
